output_1,output_2,output_3
-0.0072,1.5,-0.0387
0.0992,1.5,0.7838
0.151,1.5,2.293
0.2161,1.5,3.0198
0.288,1.5,2.7215
0.3344,1.5,1.9755
0.3658,1.5,1.3887
0.434,1.5,1.4626
0.4671,1.5,1.7982
0.5095,1.5,2.1918
0.5253,1.5,2.1853
0.5555,1.5,2.0354
0.5601,1.5,1.8774
0.6109,1.5,1.7524
0.6344,1.5,1.9261
0.6233,1.5,2.0628
0.6347,1.5,2.0039
0.6647,1.5,2.139
0.6549,1.5,1.8644
0.6781,1.5,1.9272
0.6843,1.5,1.8492
0.7021,1.5,1.971
0.6814,1.5,1.9142
0.7088,1.5,1.9733
0.7159,1.5,1.9448
0.7007,1.5,1.896
0.7214,1.5,1.8236
0.7333,1.5,2.0411
0.7179,1.5,2.1638
0.7309,1.5,2.184
0.7387,1.5,1.9636
0.7341,1.5,1.9949
0.7573,1.5,1.9594
0.7513,1.5,2.0039
0.7396,1.5,1.9267
0.7503,1.5,1.8481
0.7597,1.5,1.9984
0.7521,1.5,1.902
0.7564,1.5,1.847
0.7582,1.5,2.1891
0.7601,1.5,1.9811
0.7403,1.5,2.0326
0.7474,1.5,2.0958
0.7513,1.5,1.8653
0.7394,1.5,2.0329
0.7419,1.5,2.0398
0.7599,1.5,2.0065
0.7603,1.5,2.0126
0.7663,1.5,1.9578
0.7611,1.5,2.0579
0.75,1.5,1.9319
